file,character,level,damage,maxhp,gain
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,58,949,9
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,49,949,10
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,51,949,7
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,62,949,13
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,48,949,6
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,50,949,8
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,58,949,8
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,52,949,11
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,0,949,7
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,45,949,6
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,54,949,7
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,56,949,128
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,51,949,8
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,51,949,8
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,50,949,7
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,19,949,3
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,46,949,7
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,42,949,6
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,37,949,5
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,28,949,4
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,30,949,4
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,35,949,5
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,34,949,5
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,28,949,4
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,39,949,5
ryqenz_zomdaya_uw_dw_092326.txt,Zomd Aya,16,52,949,7
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,22,859,4
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,20,859,3
ryqenz_zomdaya_uw_2h_092326.txt,Zomd Aya,13,22,859,4
