file,character,setup,t,level,damage,crit,glancing,ap,gain,capped
siax_uw_dw_092326.txt,Siax,dual_wield,39254.707,15,15,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39256.058,15,14,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39256.876,15,45,False,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39257.359,15,27,True,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39258.661,15,14,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39260.48,15,90,True,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39261.28,15,13,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39262.498,15,15,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39268.106,15,100,True,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39269.607,15,14,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39270.847,15,12,False,False,460,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39272.198,15,14,False,False,460,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39273.467,15,13,False,False,460,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39274.801,15,14,False,False,460,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39275.318,15,78,True,False,460,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39283.046,15,13,False,False,460,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39283.297,15,50,False,False,460,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39284.331,15,13,False,False,460,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39285.634,15,12,False,False,460,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39288.788,15,45,False,False,460,63,False
siax_uw_dw_092326.txt,Siax,dual_wield,39290.606,15,41,False,False,460,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39290.872,15,13,False,False,460,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39294.239,15,40,False,False,460,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39296.004,15,49,False,False,460,63,False
siax_uw_dw_092326.txt,Siax,dual_wield,39298.623,15,12,False,False,460,142,False
siax_uw_dw_092326.txt,Siax,dual_wield,39305.68,15,78,True,False,460,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39305.83,15,11,False,False,460,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39307.098,15,12,False,False,460,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39308.432,15,15,False,False,460,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39311.036,15,13,False,False,460,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39311.037,15,39,False,False,460,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39312.32,15,13,False,False,460,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39320.174,15,11,False,False,460,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39321.492,15,14,False,False,460,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39322.727,15,26,True,False,460,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39323.678,15,41,False,False,460,63,False
siax_uw_dw_092326.txt,Siax,dual_wield,39324.111,15,12,False,False,460,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39325.431,15,12,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39325.432,15,43,False,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39326.716,15,27,True,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39327.3,15,47,False,False,483,63,False
siax_uw_dw_092326.txt,Siax,dual_wield,39328.368,15,42,False,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39329.286,15,15,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39330.592,15,16,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39331.942,15,14,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39336.492,15,14,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39337.743,15,15,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39338.661,15,41,False,False,483,63,False
siax_uw_dw_092326.txt,Siax,dual_wield,39339.078,15,31,True,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39340.347,15,15,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39340.449,15,89,True,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39341.715,15,13,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39344.535,15,46,False,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39345.552,15,15,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39356.0,15,16,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39357.286,15,15,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39358.571,15,13,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39360.773,15,98,True,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39361.208,15,13,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39362.493,15,29,True,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39381.905,15,103,True,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39382.025,15,13,False,False,483,22,False
siax_uw_dw_092326.txt,Siax,dual_wield,39383.374,15,16,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39383.774,15,41,False,False,483,63,False
siax_uw_dw_092326.txt,Siax,dual_wield,39384.658,15,16,False,False,483,23,False
siax_uw_dw_092326.txt,Siax,dual_wield,39385.592,15,105,True,False,483,62,False
siax_uw_dw_092326.txt,Siax,dual_wield,39386.026,15,13,False,False,483,22,False
