9/23/2026 20:35:26.428-5  COMBAT_LOG_VERSION,22,ADVANCED_LOG_ENABLED,1,BUILD_VERSION,1.60.1,PROJECT_ID,18
9/23/2026 20:45:22.941-5  SWING_DAMAGE,Creature-0-6783-0-8995-1417-0000B48076,"Young Wetlands Crocolisk",0xa48,0x80000000,Player-4613-00AF5B80,"Reggie-ClassicBetaPvP2-",0x518,0x80000000,Creature-0-6783-0-8995-1417-0000B48076,0000000000000000,276,691,74,0,897,0,0,0,1,0,0,0,-4078.42,-3011.80,1437,5.4148,21,25,37,-1,1,0,0,0,nil,nil,nil
9/23/2026 20:45:22.941-5  SWING_DAMAGE_LANDED,Creature-0-6783-0-8995-1417-0000B48076,"Young Wetlands Crocolisk",0xa48,0x80000000,Player-4613-00AF5B80,"Reggie-ClassicBetaPvP2-",0x518,0x80000000,Player-4613-00AF5B80,0000000000000000,314,861,533,0,1079,0,0,0,0,22,657,0,-4079.82,-3012.94,1437,0.5288,14,25,37,-1,1,0,0,0,nil,nil,nil
9/23/2026 20:45:22.941-5  DAMAGE_SHIELD,Player-4613-00AF5B80,"Reggie-ClassicBetaPvP2-",0x518,0x80000000,Creature-0-6783-0-8995-1417-0000B48076,"Young Wetlands Crocolisk",0xa48,0x80000000,7294,"Retribution Aura",0x2,Creature-0-6783-0-8995-1417-0000B48076,0000000000000000,263,691,74,0,897,0,0,0,1,0,0,0,-4078.42,-3011.80,1437,5.4148,21,13,12,-1,2,0,0,0,nil,nil,nil,AOE
9/23/2026 20:45:23.157-5  SWING_DAMAGE,Player-4619-0067141E,"Tarch-ClassicBetaPvP-",0x511,0x80000000,Creature-0-6783-0-8995-1417-0000348087,"Young Wetlands Crocolisk",0x10a48,0x80000000,Player-4619-0067141E,0000000000000000,818,939,532,0,1185,0,0,0,1,379,1000,0,-3971.71,-3019.79,1437,0.0735,12,91,138,-1,1,0,0,0,nil,1,nil
9/23/2026 20:45:23.157-5  SWING_DAMAGE_LANDED,Player-4619-0067141E,"Tarch-ClassicBetaPvP-",0x511,0x80000000,Creature-0-6783-0-8995-1417-0000348087,"Young Wetlands Crocolisk",0x10a48,0x80000000,Creature-0-6783-0-8995-1417-0000348087,0000000000000000,502,691,74,0,897,0,0,0,1,0,0,0,-3969.18,-3019.18,1437,2.6565,21,91,138,-1,1,0,0,0,nil,1,nil
9/23/2026 20:45:23.158-5  SWING_MISSED,Creature-0-6783-0-8995-1417-0000348087,"Young Wetlands Crocolisk",0x10a48,0x80000000,Player-4619-0067141E,"Tarch-ClassicBetaPvP-",0x511,0x80000000,DODGE,nil
9/23/2026 20:45:23.158-5  SPELL_ABSORBED,Creature-0-6783-0-8995-1010-0000347DD3,"Mosshide Fenrunner",0xa28,0x80000000,Player-4613-0096FAE3,"Shuiest-ClassicBetaPvP2-",0x518,0x80000000,Player-4613-0096FAE3,"Shuiest-ClassicBetaPvP2-",0x518,0x80000000,600,"Power Word: Shield",0x2,25,32,nil
9/23/2026 20:45:23.158-5  SWING_DAMAGE_LANDED,Creature-0-6783-0-8995-1010-0000347DD3,"Mosshide Fenrunner",0xa28,0x80000000,Player-4613-0096FAE3,"Shuiest-ClassicBetaPvP2-",0x518,0x80000000,Player-4613-0096FAE3,0000000000000000,691,717,191,46,802,0,0,82,0,944,1252,0,-3819.59,-2985.56,1437,5.0018,19,0,32,-1,1,0,0,25,nil,nil,nil
9/23/2026 20:45:23.674-5  SWING_DAMAGE,Player-4613-00AF5B80,"Reggie-ClassicBetaPvP2-",0x518,0x80000000,Creature-0-6783-0-8995-1417-0000B48076,"Young Wetlands Crocolisk",0xa48,0x80000000,Player-4613-00AF5B80,0000000000000000,314,861,533,0,1079,0,0,0,0,22,657,0,-4079.82,-3012.94,1437,0.5288,14,98,149,-1,1,0,0,0,nil,1,nil
9/23/2026 20:45:23.674-5  SWING_DAMAGE_LANDED,Player-4613-00AF5B80,"Reggie-ClassicBetaPvP2-",0x518,0x80000000,Creature-0-6783-0-8995-1417-0000B48076,"Young Wetlands Crocolisk",0xa48,0x80000000,Creature-0-6783-0-8995-1417-0000B48076,0000000000000000,165,691,74,0,897,0,0,0,1,0,0,0,-4078.42,-3011.80,1437,5.4148,21,98,149,-1,1,0,0,0,nil,1,nil
9/23/2026 20:45:24.140-5  SPELL_CAST_SUCCESS,Player-4613-00848667,"Tyrone-ClassicBetaPvP2-",0x518,0x80000000,Creature-0-6783-0-8995-1008-000034809A,"Mosshide Mongrel",0xa48,0x80000000,7322,"Frostbolt",0x10,Player-4613-00848667,0000000000000000,478,507,156,30,392,0,0,0,0,762,1497,65,-3878.20,-3058.63,1437,2.3103,10
9/23/2026 20:45:24.141-5  SPELL_PERIODIC_ENERGIZE,Player-4619-00C8CD36,"Greatsword-ClassicBetaPvP-",0x528,0x80000000,Player-4613-00AF5B80,"Reggie-ClassicBetaPvP2-",0x518,0x80000000,19742,"Blessing of Wisdom",0x2,Player-4613-00AF5B80,0000000000000000,314,861,533,0,1079,0,0,0,0,34,657,0,-4079.82,-3012.94,1437,0.5288,14,12.0000,0.0000,0,657
9/23/2026 20:45:24.374-5  SPELL_CAST_START,Player-4613-00848667,"Tyrone-ClassicBetaPvP2-",0x518,0x80000000,0000000000000000,nil,0x80000000,0x80000000,7322,"Frostbolt",0x10
9/23/2026 20:45:24.374-5  SPELL_PERIODIC_HEAL,Player-4613-0096FAE3,"Shuiest-ClassicBetaPvP2-",0x518,0x80000000,Player-4613-0096FAE3,"Shuiest-ClassicBetaPvP2-",0x518,0x80000000,139,"Renew",0x2,Player-4613-0096FAE3,0000000000000000,717,717,191,46,802,0,0,82,0,976,1252,0,-3818.21,-2991.09,1437,4.8464,19,33,33,7,0,nil
9/23/2026 20:45:24.424-5  SPELL_CAST_FAILED,Player-4619-0067141E,"Tarch-ClassicBetaPvP-",0x511,0x80000000,0000000000000000,nil,0x80000000,0x80000000,402927,"Victory Rush",0x1,"Out of range"
9/23/2026 20:45:24.957-5  SPELL_CAST_SUCCESS,Player-4613-0096FAE3,"Shuiest-ClassicBetaPvP2-",0x518,0x80000000,Creature-0-6783-0-8995-1010-0000347FCE,"Mosshide Fenrunner",0xa28,0x80000000,453,"Mind Soothe",0x20,Player-4613-0096FAE3,0000000000000000,717,717,191,46,802,0,0,82,0,998,1252,50,-3817.72,-2994.70,1437,4.7796,19
9/23/2026 20:45:24.957-5  SWING_DAMAGE,Creature-0-6783-0-8995-1417-0000B48076,"Young Wetlands Crocolisk",0xa48,0x80000000,Player-4613-00AF5B80,"Reggie-ClassicBetaPvP2-",0x518,0x80000000,Creature-0-6783-0-8995-1417-0000B48076,0000000000000000,165,691,74,0,897,0,0,0,1,0,0,0,-4078.42,-3011.80,1437,5.4148,21,29,43,-1,1,0,0,0,nil,nil,nil
